关键字,语音包,完成录音,全部完成,,
return yield,一路顺风,1,1,,
range,hohoho  seno,1,1,,
__name__,我是kizuna ai,1,1,,
thread start,se no,1,1,,
try,能行,1,1,,
exit,正片开始,1,1,,
pass,毕竟我还不出名,1,搁置,,
hello world,hello world,1,1,,
copy,毕竟我已经不再特殊,1,1,,
while  for,again,1,1,,
hello,hello x 4,1,1,,
except,哎？怎么回事,1,1,,
TRUE,绝对啊,1,1,,
hello morning,hello morning,,,,
super,super ai,,,,
re.match is  ==,这是一样的吗？,,,,
re.search,让我看看,,,,
time,,,,,
sleep,,,,,
finally,,,,,
,原型机终将睡去,,,,
import,,,,,
else  elif,,,,,
break,喂！停下来啊,,,,
print,,,,,
global  connect,和世界上的人建立连结,,,,
#,秘密,,,,
exec  eval,我都会去尽力完成的,,,,
assert,一定是这样子的！,,,,
continue,,,,,
if,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,孤独的ai,,,,
with,一起来吧,,,,
lambda,,,,,
thread,更多！,,,,
raise,无路赛,1,1,https://www.bilibili.com/video/BV1LW411u7vR/?spm_id_from=333.788.recommend_more_video.12,1:43
join,贴贴,,,,
,啊？！,,,https://www.bilibili.com/video/BV1AW411p7Fs?spm_id_from=333.1007.top_right_bar_window_history.content.click,1:19
,看着就来气,,,https://www.bilibili.com/video/BV1AW411p7Fs?spm_id_from=333.1007.top_right_bar_window_history.content.click,2:04
,励志语录，努力去做,,,https://www.bilibili.com/video/BV1AW411p7Fs?spm_id_from=333.1007.top_right_bar_window_history.content.click,2:40
,不要啊 不甘心,,,https://www.bilibili.com/video/BV1yx411S7S3?p=204&spm_id_from=pageDriver,4:35
,music start,,,https://www.bilibili.com/video/BV1KK4y1Y7RX/?spm_id_from=333.788.recommend_more_video.14,2:04
,为什么,,,https://www.bilibili.com/video/BV1FE411e7RA?spm_id_from=333.788.top_right_bar_window_history.content.click,15:52
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
时间触发,,,,,
早上,哦嗨哟,,,,
